amplitude_um,direction,cycle,phase_rad,phase_fraction,dx_m,dy_m,vx_m_per_s,vy_m_per_s,controller_kp,controller_ki,controller_kd,sensor_angle_x_deg,sensor_angle_y_deg,servo_natural_frequency_hz,servo_zeta,controller_u_x,controller_u_y,xv_x_nondim,xv_y_nondim,dsx_nondim,dsy_nondim,spool_harmonic_dsx_nondim,spool_harmonic_dsy_nondim,spool_harmonic_residual_x_nondim,spool_harmonic_residual_y_nondim,nonlinear_delta_fx_N,nonlinear_delta_fy_N,stiffness_delta_fx_N,stiffness_delta_fy_N,damping_delta_fx_N,damping_delta_fy_N,spool_delta_fx_N,spool_delta_fy_N,linear_total_delta_fx_N,linear_total_delta_fy_N,error_fx_N,error_fy_N
5.0,forward,3,0.0,0.0,5e-06,-4.898587196589412e-21,1.538936554977432e-18,0.0015707963267948,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0623383196770328,-0.1210823698388234,-0.0640182108967412,-0.1321606578959966,0.0243701367515772,-0.0084169711883508,0.024370136751577096,-0.008416971188350874,9.71445146547012e-17,2.949029909160572e-17,-245.0683450778125,-226.0184761461743,-140.333577135913,63.5203352147163,9.234872159072113,-266.9705368443794,-125.35738201770562,-56.237426204145,-256.45608699454647,-259.6876278338081,11.387741916733972,33.669151687633814
5.0,forward,3,0.3926990816987228,0.062499999999999785,4.6193976625564375e-06,1.913417161825439e-06,-0.0006011177298843,0.0014512265760697,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0653397018582732,-0.1113160364057558,-0.0626522416745589,-0.1221939065350001,0.0257361059737594,0.0015497801726456,0.025736105973759353,0.0015497801726455443,4.163336342344337e-17,1.214306433183765e-17,-188.31650286032465,-309.9940731925171,-186.33471265602446,-0.733844086983801,71.76989021423009,-250.1167223005071,-87.1555344276205,-111.44341718781834,-201.72035686941487,-362.2939835753092,13.403854009090225,52.29991038279212
5.0,forward,3,0.7853981633974492,0.12500000000000014,3.535533905932737e-06,3.5355339059327374e-06,-0.0011107207345395,0.0011107207345395,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0718500314245535,-0.10344170007422,-0.0652043612885,-0.1124630951564968,0.0231839863598183,0.011280591551149,0.02318398635981834,0.011280591551149011,-4.5102810375396984e-17,-5.551115123125783e-17,-115.51059237377908,-341.7899126780869,-203.96807730263282,-64.87630227875431,123.37859307994468,-195.18490410008897,-35.68504678781673,-149.6831581417392,-116.27453101050487,-409.7443645205825,0.763938636725797,67.95445184249559
5.0,forward,3,1.178097245096172,0.18749999999999992,1.9134171618254544e-06,4.619397662556431e-06,-0.0014512265760697,0.0006011177298843,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0808781697156921,-0.0986581571696566,-0.0712860326623637,-0.1044496515828387,0.0171023149859547,0.0192940351248071,0.017102314985954707,0.019294035124807016,-1.3877787807814457e-17,3.8163916471489756e-17,-32.426125761832154,-322.1417525008245,-190.54915115514032,-119.1419315537286,156.20402357898098,-110.5379536060129,21.218165739676998,-165.1349951497874,-13.126961836482344,-394.8148803095289,-19.29916392534981,72.67312780870441
5.0,forward,3,1.5707963267948983,0.2500000000000003,-4.901682099772354e-21,5e-06,-0.0015707963267948,-1.539908847487742e-18,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0910496645171407,-0.09769365873636,-0.0799713764599675,-0.0993735499560686,0.0084169711883508,0.0243701367515772,0.008416971188350813,0.02437013675157714,-1.9081958235744878e-17,1.3877787807814457e-17,56.81168798918738,-256.4875750261549,-148.120844076634,-155.26928177394709,165.24880748110044,-9.062601704463841,74.89110487645678,-155.44652609873916,92.01906828092322,-319.7784095771501,-35.207380291735845,63.290834550995214
5.0,forward,3,1.9634954084936207,0.3125,-1.9134171618254472e-06,4.619397662556434e-06,-0.0014512265760697,-0.0006011177298843,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1008159979502084,-0.1006950409176006,-0.089938127820964,-0.0980075807338863,-0.0015497801726456,0.0257361059737595,-0.0015497801726455842,0.025736105973759384,-2.211772431870429e-17,6.938893903907228e-17,146.21045458370125,-153.0656327501891,-83.14248120625567,-167.75829136362609,149.13595842840795,93.7924491538995,117.1625521853518,-122.09273257542608,183.1560294075041,-196.05857478515267,-36.94557482380284,42.99294203496356
5.0,forward,3,2.356194490192344,0.37499999999999983,-3.5355339059327314e-06,3.535533905932744e-06,-0.0011107207345395,-0.0011107207345395,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.108690334281744,-0.1072053704838809,-0.0996689391994674,-0.1005597003478273,-0.0112805915511489,0.0231839863598184,-0.01128059155114896,0.023183986359818394,5.204170427930421e-17,-3.8163916471489756e-17,223.73556262994904,-20.55578009601972,-5.506429260694006,-154.7076218258913,110.31851162580323,182.3684498592506,141.59706300520753,-70.15142729088134,246.40914537031676,-42.490599257522035,-22.67358274036772,21.934819161502315
5.0,forward,3,2.7488935718910703,0.4375000000000002,-4.619397662556434e-06,1.9134171618254464e-06,-0.0006011177298843,-0.0014512265760697,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1134738771863078,-0.1162335087750196,-0.1076823827731254,-0.106641371721691,-0.019294035124807,0.0171023149859547,-0.019294035124807023,0.017102314985954704,1.734723475976807e-17,-4.85722573273506e-17,269.740970647925,135.83667119599843,72.9679266239035,-118.10411929324842,54.706071467978845,243.18050724766312,144.47470456309293,-7.5302031255713615,272.1487026549753,117.54618482884334,-2.407732007050299,18.290486367155097
5.0,forward,3,3.141592653589793,0.5,-5e-06,4.286263797015736e-21,-1.3465694856052528e-18,-0.0015707963267948,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1144383756196038,-0.126405003576468,-0.1127584843998956,-0.1153267155192949,-0.0243701367515771,0.0084169711883509,-0.024370136751577096,0.008416971188350877,-1.0408340855860843e-17,-2.0816681711721685e-17,271.9793351121993,288.77265676540753,140.33357713591303,-63.52033521471628,-9.234872159072133,266.9705368443794,125.35738201770563,56.23742620414498,256.4560869945465,259.6876278338081,15.52324811765277,29.085028931599425
5.0,forward,3,3.534291735288516,0.5624999999999998,-4.6193976625564375e-06,-1.9134171618254383e-06,0.0006011177298843,-0.0014512265760697,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1114369934383636,-0.1361713370095359,-0.1141244536220777,-0.1252934668802913,-0.0257361059737593,-0.0015497801726455,-0.025736105973759353,-0.0015497801726455408,4.5102810375396984e-17,-2.8189256484623115e-18,223.7727444247469,407.8935170659935,186.33471265602444,0.7338440869837726,-71.76989021423009,250.1167223005071,87.1555344276205,111.44341718781834,201.72035686941484,362.2939835753092,22.052387555332047,45.59953349068428
5.0,forward,3,3.9269908169872414,0.625,-3.5355339059327374e-06,-3.5355339059327374e-06,0.0011107207345395,-0.0011107207345395,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1049266638720833,-0.1440456733410716,-0.1115723340081367,-0.1350242782587948,-0.0231839863598183,-0.0112805915511489,-0.023183986359818352,-0.01128059155114899,4.5102810375396984e-17,4.683753385137379e-17,128.7214681838585,468.6527548858893,203.96807730263285,64.87630227875431,-123.37859307994468,195.18490410008897,35.68504678781688,149.6831581417391,116.27453101050506,409.7443645205824,12.446937173353433,58.9083903653069
5.0,forward,3,4.319689898685965,0.6874999999999999,-1.913417161825455e-06,-4.619397662556431e-06,0.0014512265760697,-0.0006011177298843,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0958985255809448,-0.148829216245635,-0.1054906626342731,-0.1430377218324529,-0.0171023149859547,-0.019294035124807,-0.01710231498595471,-0.019294035124807013,3.469446951953614e-18,-3.122502256758253e-17,4.281382754088704,457.4077883410489,190.54915115514035,119.1419315537286,-156.20402357898098,110.5379536060129,-21.218165739676984,165.1349951497874,13.126961836482387,394.8148803095289,-8.845579082393684,62.59290803151998
5.0,forward,3,4.712388980384688,0.7499999999999997,-1.3474209693803826e-20,-5e-06,0.0015707963267948,-4.2330478186982484e-18,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0857270307794962,-0.1497937146789312,-0.0968053188366693,-0.1481138234592229,-0.0084169711883509,-0.0243701367515771,-0.008416971188350903,-0.02437013675157711,-3.469446951953614e-18,-3.469446951953614e-17,-121.03555335399156,374.3082235441058,148.1208440766345,155.26928177394686,-165.24880748110047,9.062601704464821,-74.89110487645632,155.44652609873935,-92.01906828092228,319.778409577151,-29.016485073069276,54.52981396695475
5.0,forward,3,5.105088062083414,0.8125000000000001,1.9134171618254464e-06,-4.619397662556434e-06,0.0014512265760697,0.0006011177298843,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0759606973464282,-0.1467923324976912,-0.0868385674756728,-0.1494797926814051,0.0015497801726455,-0.0257361059737593,0.001549780172645592,-0.025736105973759384,-9.82287168271867e-17,3.8163916471489756e-17,-218.5200097607961,234.78337473136176,83.1424812062557,167.75829136362606,-149.13595842840795,-93.7924491538995,-117.16255218535184,122.09273257542607,-183.1560294075041,196.05857478515264,-35.36398035329202,38.72479994620912
5.0,forward,3,5.497787143782137,0.8749999999999999,3.535533905932731e-06,-3.535533905932744e-06,0.0011107207345395,0.0011107207345395,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0680863610148929,-0.1402820029314108,-0.0771077560971693,-0.1469276730674642,0.011280591551149,-0.0231839863598184,0.01128059155114896,-0.023183986359818397,3.2959746043559335e-17,-4.85722573273506e-17,-270.7717687662562,67.06832564492545,5.50642926069402,154.7076218258913,-110.31851162580323,-182.3684498592506,-141.59706300520753,70.15142729088134,-246.40914537031674,42.490599257522035,-24.362623395939437,24.577726387403416
5.0,forward,3,5.890486225480863,0.9375000000000002,4.619397662556434e-06,-1.9134171618254472e-06,0.0006011177298843,0.0014512265760697,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.063302818110329,-0.1312538646402719,-0.0690943125235113,-0.1408460016936005,0.019294035124807,-0.0171023149859547,0.01929403512480702,-0.017102314985954707,-2.7755575615628914e-17,-3.8163916471489756e-17,-276.2047882588068,-96.09284260398027,-72.96792662390347,118.10411929324844,-54.706071467978845,-243.18050724766312,-144.47470456309296,7.530203125571383,-272.1487026549753,-117.54618482884328,-4.056085603831491,21.453342224863007
5.0,reverse,3,0.0,0.0,5e-06,4.898587196589412e-21,1.538936554977432e-18,-0.0015707963267948,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.0910496645171407,-0.1497937146789312,-0.0799713764599675,-0.148113823459223,0.0084169711883508,-0.0243701367515771,0.008416971188350855,-0.024370136751577096,-6.071532165918825e-17,-5.204170427930421e-17,-368.1398656408485,526.9402271867874,-140.3335771359133,63.520335214716,-9.234872159072436,266.9705368443794,-135.21107252053721,89.2384019500615,-284.7795218155229,419.72927400915694,-83.36034382532557,107.21095317763047
5.0,reverse,3,0.3926990816987228,0.062499999999999785,4.6193976625564375e-06,-1.913417161825439e-06,-0.0006011177298843,-0.0014512265760697,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1008159979502084,-0.146792332497691,-0.089938127820964,-0.1494797926814052,-0.0015497801726455,-0.0257361059737593,-0.0015497801726455573,-0.025736105973759357,5.095750210681871e-17,6.938893903907228e-18,-198.25719809706607,595.6443016691346,-72.9679266239038,118.10411929324823,54.706071467978845,243.18050724766312,-104.62095196911477,136.20295914966994,-122.88280712503972,497.4875856905813,-75.37439097202635,98.15671597855334
5.0,reverse,3,0.7853981633974492,0.12500000000000014,3.535533905932737e-06,-3.5355339059327374e-06,-0.0011107207345395,-0.0011107207345395,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1086903342817442,-0.1402820029314107,-0.0996689391994674,-0.1469276730674641,-0.011280591551149,-0.0231839863598183,-0.011280591551149017,-0.023183986359818345,1.0408340855860843e-17,-3.469446951953614e-18,17.607020265074574,570.7674501446279,5.5064292606936505,154.70762182589115,110.31851162580323,182.3684498592506,-58.10323987168548,162.4318505016407,57.721701014811394,499.5079221867825,-40.11468074973682,71.25952795784542
5.0,reverse,3,1.178097245096172,0.18749999999999992,1.9134171618254544e-06,-4.619397662556431e-06,-0.0014512265760697,-0.0006011177298843,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1134738771863076,-0.131253864640272,-0.1076823827731255,-0.1408460016936004,-0.019294035124807,-0.0171023149859546,-0.01929403512480701,-0.017102314985954714,3.469446951953614e-18,6.591949208711867e-17,234.63799096221703,462.7694861398981,83.14248120625538,167.75829136362606,149.13595842840795,93.7924491538995,-2.739836210973543,163.9319650631279,229.53860342368978,425.4827055806535,5.099387538527253,37.28678055924462
5.0,reverse,3,1.5707963267948983,0.2500000000000003,-4.901682099772354e-21,-5e-06,-0.0015707963267948,1.539908847487742e-18,0.3,0.0,0.5,45.0,135.0,166.0,0.7,-0.1144383756196041,-0.1210823698388234,-0.1127584843998956,-0.1321606578959966,-0.0243701367515771,-0.0084169711883508,-0.024370136751577127,-0.00841697118835082,2.0816681711721685e-17,-3.122502256758253e-17,375.7167633261653,354.7872952661064,148.12084407663428,155.26928177394697,165.24880748110044,-9.062601704464363,53.040682676182506,140.4749239907176,366.41033423391724,286.68160406020024,9.306429092248038,68.10569120590617
